Q4_1_TEXT	Q4_2_TEXT	Q4_3_TEXT	Q3	Q3_1	Q3_2	Q3_3	Q3_4	Q3_5	Q3_6	Q3_7	Q3_8	Q3_9	Q3_10	Q3_11	Q3_12	Q3_13	Q3_14	Q3_15	Q3_16	Q3_17	Q3_18	Q3_19	Q3_20	Q3_21	Q3_22	Q3_23	Q3_24	Q3_25	Q3_26	Q3_27	Q3_28	Q3_29	Q3_30	Q3_31	Q3_32	Q3_33	Q3_34	Q3_35	Q3_36	Q3_37	Q3_38	Q3_39	Q3_40	Q3_41	Q3_42	Q3_43	Q3_44	Q3_45	Q3_46	Q3_47	Q3_48	Q3_49	Q3_50	Q3_51	Q3_52	Q3_53	Q3_54	Q3_55	Q3_56	Q3_57	Q3_58	Q3_59	Q3_60	Q3_61	Q3_62	Q3_63	Q3_64	Q3_65	Q3_66	Q3_67	Q3_68	Q3_69	Q3_70	Q3_71	Q3_72	Q3_73	Q3_74	Q3_75	Q3_76	Q3_77	Q3_78	Q3_79	Q3_80	Q3_81	Q3_82	Q3_83	Q3_84	Q3_85	Q3_86	Q3_87	Q3_88	Q3_89	Q3_90	Q3_91	Q3_92	Q3_93	Q3_94	Q3_95	Q3_96	Q3_97	Q3_98	Q3_99	Q3_100	Q3_101	Q3_102	Q3_103	Q3_104	Q3_105	Q3_106	Q3_107	Q3_108	Q3_109	Q3_110	Q3_111	Q3_112	Q3_113	Q3_114	Q3_115	Q3_116	Q3_117
35	IT	-	1	1	 	 	5	1	 	5	 	3	 	 	 	5	5	 	5	 	1	 	1	 	 	 	 	5	5	5	 	 	 	 	 	 	1	1	5	 	5	5	5	5	 	1	 	5	 	1	 	5	 	 	 	1	 	 	1	 	 	 	 	 	 	 	 	 	 	1	1	 	1	1	 	1	1	3	 	5	5	 	5	1	 	1	 	 	 	5	 	1	 	 	1	5	 	 	 	 	 	 	1	 	 	 	 	1	 	 	 	1	1	 	 	1	1	 	1	 
44	 	 	1	4	2	2	4	1	5	 	3	4	4	2	 	 	2	4	 	2	 	 	2	4	4	 	 	 	3	 	4	1	 	 	 	2	 	2	2	 	 	 	2	3	 	4	4	 	4	 	 	 	4	 	1	 	 	3	2	 	2	2	 	3	4	2	2	2	2	 	 	4	2	 	 	 	 	2	4	3	 	 	 	 	 	2	 	 	 	 	4	2	2	 	4	4	4	2	2	2	2	4	2	 	3	 	4	2	3	 	1	2	4	4	3	4	1	 	4	2
34	πληροφορικης, οικονομικων	πτυχιουχος	1	5	 	5	5	1	1	5	5	1	5	 	 	1	5	1	1	1	1	5	1	5	5	5	1	5	5	5	5	1	1	5	1	5	1	1	1	5	5	5	5	5	5	1	5	5	 	5	5	 	5	1	1	1	1	1	1	1	5	1	 	5	5	1	 	1	5	 	1	1	5	1	1	 	1	1	5	5	5	 	5	 	1	1	1	1	5	5	5	5	5	1	5	5	5	1	1	1	5	5	5	5	5	5	 	1	5	5	5	1	1	5	5	5	1	1	5	1
38	Μαθηματικός	1976	1	4	2	3	4	2	5	3	4	4	4	 	2	5	 	2	4	2	 	4	2	5	5	3	4	3	4	4	2	4	3	5	2	5	3	2	2	4	4	4	3	5	3	4	2	4	3	5	5	4	4	4	3	4	4	4	4	2	4	2	1	1	4	1	2	2	4	2	5	4	5	4	1	3	1	4	4	5	3	4	4	5	2	1	1	1	5	4	4	4	4	 	4	2	3	3	2	3	4	2	 	2	4	3	3	3	2	 	2	1	2	1	2	1	2	1	4	1
21	ΣΕΜΦΕ	3	1	1	2	1	 	5	5	1	1	2	1	5	4	1	2	 	3	2	1	 	4	4	2	2	5	1	1	1	1	4	4	1	5	5	5	1	5	2	1	2	1	1	1	5	1	1	1	2	1	1	1	5	4	4	5	5	5	1	1	2	1	 	2	1	2	 	4	1	4	4	 	4	4	5	2	4	 	2	2	1	3	5	4	3	 	2	 	2	2	1	2	5	 	2	 	 	4	 	2	1	2	1	1	1	2	 	2	3	 	 	2	2	1	2	1	5	 	 
21	ΣΕΜΦΕ	3	1	2	2	5	1	1	1	1	4	 	4	5	2	5	4	3	1	2	1	4	1	5	5	5	1	5	5	5	5	1	5	5	2	4	2	1	2	5	1	1	4	 	5	4	1	3	2	5	5	 	5	4	1	4	1	5	2	1	1	4	5	4	5	1	4	4	 	1	5	2	4	2	5	4	1	1	5	5	5	5	5	1	1	2	1	 	5	5	4	1	4	4	5	5	3	1	2	 	2	5	5	1	1	4	1	1	1	 	1	1	1	2	 	4	1	1	3	2
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	15	15	1	 	 	 	 	4	 	5	5	1	 	 	 	 	 	1	1	5	 	 	 	5	5	 	 	5	5	5	5	 	 	 	 	 	 	 	5	 	 	 	1	1	 	 	1	 	1	2	5	1	 	 	 	5	 	 	5	 	5	5	 	5	1	5	5	5	5	5	 	 	5	1	 	5	1	1	5	 	 	5	 	1	 	1	 	1	5	5	5	 	 	 	 	5	5	 	3	 	5	5	5	5	5	5	 	3	 	 	1	5	1	 	2	 	 	 	 	5
22	ΣΕΜΦΕ - μαθηματικό	5ο	1	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	Semfe	6	1	1	 	 	2	1	 	 	 	 	4	 	 	 	 	 	2	 	2	 	 	5	 	 	1	 	 	4	4	 	 	 	 	 	4	4	 	5	 	5	 	 	 	 	 	 	 	2	 	2	5	 	 	1	 	 	 	 	 	 	2	 	 	1	 	 	 	2	4	1	 	 	2	 	 	 	4	4	 	 	 	1	 	1	1	1	 	4	 	2	 	 	 	 	 	3	 	 	 	5	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 
24	Σχολή Εφαρμοσμένων Μαθηματικών και Φυσικών Επιστημών Ε.Μ.Π.	6ο	1	 	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	5	4	 	 	2	 	 	 	 	5	 	 	 	 	1	 	 	2	 	 	1	 	 	 	 	 	 	 	 	 	5	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	2	 	 	 	1	 	1	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	4	 	 	 	 	 	 	2	3	 	 	 	 	 	 
33	Φυσικό	 	1	 	 	4	 	 	1	 	 	 	 	 	1	 	 	 	 	 	2	 	 	5	5	 	 	 	5	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	 	5	1	 	 	 	2	 	 	 	4	 	 	 	 	 	 	 	 	5	 	 	 	5	 	 	 	 	2	 	1	 	 	 	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	2	 	 	 	 	 	 
21	ΣΕΜΦΕ	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
